source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_bp_rp_excess_factor,x,y,z,labels,vt_alpha,vt_delta
1752845766331013504,306.9933234329935,9.801953961218066,7.3060539135516125,0.050323732,34.69660852922133,0.0548105,19.08043800915847,0.05104041,,,15.292331,16.360086,13.8824625,14388.46044678941,8.398976,3902.8526645562297,95.6735,22190.811869429297,778.48413,1.8135133,78.36349,105.42577,-38.45427,-1,22.512596766919458,12.380178502882284
1824239397129629824,294.6017298863728,17.596074603284567,5.432996327412571,0.019378087,14.357109411083604,0.016407417,19.830438603766115,0.017400838,,,14.484958,15.481421,13.496789,30266.599231239295,11.098739,8766.948323603217,12.294263,31655.012848888702,23.75722,1.3355303,108.40253,148.61403,-6.405398,-1,12.5270565432567,17.302718712666636
1804059613498988416,305.75393765360275,13.325546302231256,6.445400312819219,0.015530605,28.51333742214618,0.01582434,18.427858859419214,0.016034177,-65.657074,1.3371128,12.901902,13.518608,12.154014,130072.62794445823,21.250038,53453.203906285125,43.530437,109031.67614548019,58.054256,1.2491858,84.870224,124.79905,-35.966362,-1,20.971022045917636,13.553342727946825
1809881802463035264,302.2644847868433,18.118573193582563,6.5760977593004215,0.014705039,23.63772443673203,0.014411925,23.37093716791767,0.011873551,-23.49017,0.46309268,9.810321,10.071291,9.388002,2242943.488020099,407.8534,1279088.4491812126,360.65753,1393019.164774771,233.33183,1.1913397,79.62826,127.80895,-21.171667,-1,17.039578351342115,16.847261083989654
2020239748632250240,293.9269159598161,23.331096662162196,5.394789926027698,0.07257271,14.5480190335996,0.047275614,22.69059779681084,0.07344074,,,17.164936,18.712017,15.93478,2564.3225413316745,1.613494,447.3111231430553,3.6950684,3351.553827554735,6.3938527,1.4814303,96.581856,158.15324,4.395634,-1,12.783529025790173,19.938516362821346
1812182083851446400,309.99512022082024,17.514653091204423,6.183244706985108,0.037373774,28.35153347342215,0.034499332,21.188309982077666,0.032257255,,,15.817143,17.22565,14.650665,8873.382312642208,4.6738734,1758.5581999318551,10.516333,10936.844872537005,12.82861,1.4307288,74.212395,137.89546,-40.411724,-1,21.73609675734456,16.244312016730543
1764318345531568768,313.60841286519315,16.21870963934097,9.521946436702843,0.0832409,53.017300731765395,0.07890882,29.071097541484516,0.07221214,,,17.306372,19.32942,15.981017,2251.1184335536327,2.3720944,253.30801743798122,7.245482,3211.820605642402,9.727599,1.539292,45.765926,88.757324,-32.51048,-1,26.39449260479762,14.472952384999944
1834002270075934592,302.7970478361315,25.374224158756235,5.5604483668646925,0.012629914,21.36932266819621,0.010107701,24.275945820220834,0.010174278,,,13.264462,13.903773,12.498742,93145.44868879778,20.290243,37489.333911902744,35.61147,79370.89887345942,49.998245,1.2545995,77.18483,161.81676,-14.172014,-1,18.218070718953985,20.69606531705808
2032654574941922176,293.0559529933256,30.234943408170324,7.817384486052232,0.09932778,18.60178113326503,0.08722429,41.91730849303601,0.10109388,,,17.959484,19.579412,16.614147,1233.5397623226306,1.4452673,201.21104451405412,6.234746,1792.6667030727956,9.710229,1.6163871,55.27979,114.737305,11.959451,-1,11.280140180754074,25.41870116705146
1836759806564637312,301.65351710126237,27.780666577746036,5.221957210560403,0.020104438,19.192616618483054,0.015837796,23.418731162860407,0.017931076,,,8.002832,8.155753,7.719849,1.1852600446016705E7,4071.952,7466473.5715652695,6829.4897,6474682.594547783,4048.556,1.1762108,77.90499,174.75874,-7.879789,-1,17.422975200653386,21.259423891599358
